archived_url,article_url,id,language,media_name,media_url,publish_date,title,url
https://web.archive.org/web/20230904015833/https://www.24heures.ch/football-jeremy-vachoux-le-baroudeur-marque-lhistoire-avec-le-slo-441064275668,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y2gsMjRoZXVyZXMpL2Zvb3RiYWxsLWplcmVteS12YWNob3V4LWxlLWJhcm91ZGV1ci1tYXJxdWUtbGhpc3RvaXJlLWF2ZWMtbGUtc2xvLTQ0MTA2NDI3NTY2OA~~,20230904015833,fr,24heures.ch,http://24heures.ch,2023-09-03 00:00:00,Football – Jérémy Vachoux le baroudeur marque l’histoire avec le SLO,https://www.24heures.ch/football-jeremy-vachoux-le-baroudeur-marque-lhistoire-avec-le-slo-441064275668
https://web.archive.org/web/20231026015904/https://www.24heures.ch/football-le-barca-s-impose-la-lazio-chute-954885461615,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y2gsMjRoZXVyZXMpL2Zvb3RiYWxsLWxlLWJhcmNhLXMtaW1wb3NlLWxhLWxhemlvLWNodXRlLTk1NDg4NTQ2MTYxNQ~~,20231026015904,fr,24heures.ch,http://24heures.ch,2023-10-25 00:00:00,"Football – Le Barça s'impose, la Lazio chute",https://www.24heures.ch/football-le-barca-s-impose-la-lazio-chute-954885461615
https://web.archive.org/web/20231118013607/https://www.24heures.ch/football-le-ls-va-avoir-un-nouveau-grand-frere-la-semaine-prochaine-149311426009,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y2gsMjRoZXVyZXMpL2Zvb3RiYWxsLWxlLWxzLXZhLWF2b2lyLXVuLW5vdXZlYXUtZ3JhbmQtZnJlcmUtbGEtc2VtYWluZS1wcm9jaGFpbmUtMTQ5MzExNDI2MDA5,20231118013607,fr,24heures.ch,http://24heures.ch,2023-11-17 00:00:00,Football – Le LS va avoir un nouveau grand frère la semaine prochaine,https://www.24heures.ch/football-le-ls-va-avoir-un-nouveau-grand-frere-la-semaine-prochaine-149311426009
https://web.archive.org/web/20231026041544/https://www.24heures.ch/football-le-psg-ecrase-milan-225933758834,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y2gsMjRoZXVyZXMpL2Zvb3RiYWxsLWxlLXBzZy1lY3Jhc2UtbWlsYW4tMjI1OTMzNzU4ODM0,20231026041544,fr,24heures.ch,http://24heures.ch,2023-10-25 00:00:00,Football: Le PSG écrase Milan,https://www.24heures.ch/football-le-psg-ecrase-milan-225933758834
https://web.archive.org/web/20231215092419/https://www.24heures.ch/football-le-psg-passe-avec-un-nul-a-dortmund-776886184489,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y2gsMjRoZXVyZXMpL2Zvb3RiYWxsLWxlLXBzZy1wYXNzZS1hdmVjLXVuLW51bC1hLWRvcnRtdW5kLTc3Njg4NjE4NDQ4OQ~~,20231215092419,fr,24heures.ch,http://24heures.ch,2023-12-13 00:00:00,Football – Le PSG passe avec un nul à Dortmund,https://www.24heures.ch/football-le-psg-passe-avec-un-nul-a-dortmund-776886184489
https://web.archive.org/web/20231215091836/https://www.24heures.ch/football-les-young-boys-battus-par-un-leipzig-plus-realiste-186008490709,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y2gsMjRoZXVyZXMpL2Zvb3RiYWxsLWxlcy15b3VuZy1ib3lzLWJhdHR1cy1wYXItdW4tbGVpcHppZy1wbHVzLXJlYWxpc3RlLTE4NjAwODQ5MDcwOQ~~,20231215091836,fr,24heures.ch,http://24heures.ch,2023-12-13 00:00:00,Football – Les Young Boys battus par un Leipzig plus réaliste,https://www.24heures.ch/football-les-young-boys-battus-par-un-leipzig-plus-realiste-186008490709
https://web.archive.org/web/20231004020252/https://www.24heures.ch/football-lunion-berlin-et-urs-fischer-toujours-dans-le-dur-553150124615,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y2gsMjRoZXVyZXMpL2Zvb3RiYWxsLWx1bmlvbi1iZXJsaW4tZXQtdXJzLWZpc2NoZXItdG91am91cnMtZGFucy1sZS1kdXItNTUzMTUwMTI0NjE1,20231004020252,fr,24heures.ch,http://24heures.ch,2023-10-03 00:00:00,Football – L’Union Berlin et Urs Fischer toujours dans le dur,https://www.24heures.ch/football-lunion-berlin-et-urs-fischer-toujours-dans-le-dur-553150124615
https://web.archive.org/web/20230902015205/https://www.24heures.ch/football-mourinho-et-un-groupe-complique-pour-servette-590088910129,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y2gsMjRoZXVyZXMpL2Zvb3RiYWxsLW1vdXJpbmhvLWV0LXVuLWdyb3VwZS1jb21wbGlxdWUtcG91ci1zZXJ2ZXR0ZS01OTAwODg5MTAxMjk~,20230902015205,fr,24heures.ch,http://24heures.ch,2023-09-01 00:00:00,Football – Mourinho et un groupe compliqué pour Servette,https://www.24heures.ch/football-mourinho-et-un-groupe-complique-pour-servette-590088910129
https://web.archive.org/web/20231026020417/https://www.24heures.ch/football-pas-de-miracle-de-berne-face-a-manchester-city-626384011092,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y2gsMjRoZXVyZXMpL2Zvb3RiYWxsLXBhcy1kZS1taXJhY2xlLWRlLWJlcm5lLWZhY2UtYS1tYW5jaGVzdGVyLWNpdHktNjI2Mzg0MDExMDky,20231026020417,fr,24heures.ch,http://24heures.ch,2023-10-25 00:00:00,Ligue des champions – Pas de «Miracle de Berne» face à Manchester City,https://www.24heures.ch/football-pas-de-miracle-de-berne-face-a-manchester-city-626384011092
https://web.archive.org/web/20240117023355/https://www.24heures.ch/football-transfere-a-lom-ulisses-garcia-tourne-la-page-young-boys-531038427461,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y2gsMjRoZXVyZXMpL2Zvb3RiYWxsLXRyYW5zZmVyZS1hLWxvbS11bGlzc2VzLWdhcmNpYS10b3VybmUtbGEtcGFnZS15b3VuZy1ib3lzLTUzMTAzODQyNzQ2MQ~~,20240117023355,fr,24heures.ch,http://24heures.ch,2024-01-16 00:00:00,"Football – Transféré à l’OM, Ulisses Garcia tourne la page Young Boys",https://www.24heures.ch/football-transfere-a-lom-ulisses-garcia-tourne-la-page-young-boys-531038427461
